publication_id,year,type,title_sr,pdf_file,id_status,note
book-2008-kulturna-riznica-cacka,2008,book,Културна ризница Чачка: од праисторије до савременог доба,(2008)_KULTURNA RIZNICA CACKA recenzent(1).pdf,verified,"Канонски ID потврђен према наслову, години и садржају PDF-а."
book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,2013,book_chapter,Шест деценија рада Народног музеја у Чачку (1952–2012),(2012)_spomenica_1952_2012.pdf,verified,"Канонски ID потврђен према наслову, години и садржају PDF-а. PDF је цела Споменица из 2013; обрађено је поглавље „Шест деценија рада…”."
article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,2016,article,Историјско одељење Народног музеја у Чачку: повест баштињења и структура сталне поставке (1953–2006),(2016-MT)_ZRNM 46_Stalna postavka NMC.pdf,verified,"Канонски ID потврђен према наслову, години и садржају PDF-а."
book-2021-hram-vaznesenja-gospodnjeg-u-cacku,2021,book,Храм Светог Вазнесења Господњег у Чачку,nmc_hram_md(1).pdf,verified,"Канонски ID потврђен према наслову, години и садржају PDF-а."
article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,2024,article,Стална музејска поставка „Устанци и ратови 1804–1941” у Конаку Јована Обреновића у Чачку,ZRNMC_54_10(1).pdf,verified,"Канонски ID потврђен према наслову, години и садржају PDF-а."
catalogue-2010-album-of-old-cacak-1870-1941,2010,catalogue,Албум старог Чачка: 1870–1941,(2010_MT-katalog)_Album starog Cacka_compressed.pdf,verified,"Канонски ID потврђен према наслову, години и садржају PDF-а."
book-2012-ok-manastiri,2012,book,Манастири Овчарско-кабларске клисуре,49762161.pdf,verified,"Канонски ID потврђен према наслову, години и садржају PDF-а. PDF је издање из 2012; не користити ID издања из 2024."
article-2021-deca-svetog-save-zavetna-zajednica,2021,article,Деца Светог Саве: порекло и смисао заветне заједнице код Срба,Deca_Svetog_Save.pdf,verified,"Канонски ID потврђен према наслову, години, садржају PDF-а и библиографском запису; DOI 10.5281/zenodo.20675171. DOI је репозиторијумски Zenodo DOI."
conference_paper-2022-interwar-attitudes-bishop-nikolaj-velimirovic-communists,2022,conference_paper,Interwar Attitudes of Bishop Nikolaj Velimirović toward the Communists,Interwar_Attitudes_of_Velimirovic.pdf,verified,"Канонски ID потврђен према наслову, години, садржају PDF-а и библиографском запису; DOI 10.5281/zenodo.20546789. DOI је репозиторијумски Zenodo DOI."
article-2026-stavovi-episkopa-nikolaja-velimirovica-potreba-zrtvovanja-za-otadzbinu-1936-1941,2026,article,Ставови епископа Николаја Велимировића о потреби жртвовања за отаџбину (1936–1941),ms_zmsi-2026-113-6(2).pdf,verified,"Канонски ID потврђен према наслову, години, садржају PDF-а и библиографском запису; DOI 10.18485/ms_zmsi.2026.113.6. DOI је изворни DOI рада, а не репозиторијумски DOI."
article-2007-storm-winds-blew-bishop-nikolaj-velimirovics-attitudes-toward-jews-lib,2007,article,"„Дунули су вихорни ветрови”: ставови епископа Николаја Велимировића о Јеврејима, либерализму, комунизму и нацизму у штампи Жичке епархије пред Други светски рат",Nikolaj_Velimirovic_nacizam_komunizam_liberalizam_Jevreji_modernizam.pdf,verified,"Канонски ID потврђен према наслову, години, садржају PDF-а и библиографском запису; DOI 10.5281/zenodo.20560394. DOI је репозиторијумски Zenodo DOI."
article-2008-monastery-of-stjenik-at-the-foot-of-jelica-mountain-real-and-invented,2008,article,Манастир Стјеник под Јелицом: стварна и измишљена традиција,Manastir_Stjenik.pdf,verified,"Канонски ID потврђен према наслову, години, садржају PDF-а и библиографском запису; DOI 10.5281/zenodo.20560203. DOI је репозиторијумски Zenodo DOI."
book-2009-a-century-of-doubt-religious-life-in-the-cacak-district-1886-2008,2009,book,Век сумње: религиозност у чачанском крају 1886–2008,Vek_sumnje.pdf,verified,"Канонски ID потврђен према наслову, години, садржају PDF-а и библиографском запису; DOI 10.5281/zenodo.20465231. DOI је репозиторијумски Zenodo DOI."
conference_paper-2023-red-or-holy-russia-a-comparison-of-miroslav-krlezas-and-dragisa-vasics,2023,conference_paper,„Црвена” или „света” Русија: компарација путописа Мирослава Крлеже и Драгише Васића о првој земљи социјализма,Vasic_Krleza_Rusija.pdf,verified,"Канонски ID потврђен према наслову, години, издању, садржају PDF-а и важећем publications.csv; репозиторијумски DOI: 10.5281/zenodo.20551100."
book-2006-the-sokol-movement-in-cacak-1910-1941,2006,book,Соколи Чачка 1910–1941,nmcacak_sokoli_cacka.pdf,verified,"Канонски ID потврђен према наслову, години, издању, садржају PDF-а и важећем publications.csv; репозиторијумски DOI: 10.5281/zenodo.20465407."
book-2019-dragisa-vasic-serbian-national-idea,2019,book,Драгиша Васић и српска национална идеја,(2019)_Dragisa Vasic i srpska nacionalna ideja_21-02-2019.pdf,verified,"Канонски ID потврђен према наслову, години, издању, садржају PDF-а и важећем publications.csv; репозиторијумски DOI: 10.5281/zenodo.20483785."
book-2022-myths-of-recent-serbian-history,2022,book,Митови новије српске историје,(2022-MT)_Mitovi novije srpske istorije(2).pdf,verified,"Канонски ID потврђен према наслову, години, издању, садржају PDF-а и важећем publications.csv; репозиторијумски DOI: 10.5281/zenodo.20476296."
